title,price,availability,star,cate,product_url,country
Cell,£20.29,In stock,4,Add a comment,https://books.toscrape.com/catalogue/cell_674/index.html,Svalbard and Jan Mayen
Angels Walking (Angels Walking #1),£34.20,In stock,2,Add a comment,https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html,Bosnia and Herzegovina
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,In stock,2,Add a comment,https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,Jersey
A People's History of the United States,£40.79,In stock,2,Add a comment,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html,Russia
A Brush of Wings (Angels Walking #3),£55.51,In stock,1,Add a comment,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html,Lithuania
Rook,£37.86,In stock,4,Add a comment,https://books.toscrape.com/catalogue/rook_647/index.html,Iran
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,In stock,1,Add a comment,https://books.toscrape.com/catalogue/the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html,Guadeloupe
The Book of Basketball: The NBA According to The Sports Guy,£44.84,In stock,5,Sports and Games,https://books.toscrape.com/catalogue/the-book-of-basketball-the-nba-according-to-the-sports-guy_232/index.html,Macau
"Friday Night Lights: A Town, a Team, and a Dream",£51.22,In stock,3,Sports and Games,https://books.toscrape.com/catalogue/friday-night-lights-a-town-a-team-and-a-dream_158/index.html,Jersey
Sugar Rush (Offensive Line #2),£24.42,In stock,1,Sports and Games,https://books.toscrape.com/catalogue/sugar-rush-offensive-line-2_108/index.html,Canada
Settling the Score (The Summer Games #1),£44.91,In stock,2,Sports and Games,https://books.toscrape.com/catalogue/settling-the-score-the-summer-games-1_50/index.html,Angola
Icing (Aces Hockey #2),£40.44,In stock,4,Sports and Games,https://books.toscrape.com/catalogue/icing-aces-hockey-2_25/index.html,South Africa
Without Borders (Wanderlove #1),£45.07,In stock,2,New Adult,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,Guadeloupe
The Mistake (Off-Campus #2),£43.29,In stock,3,New Adult,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,United States Minor Outlying Islands
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,In stock,1,New Adult,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,Argentina
The Hook Up (Game On #1),£36.29,In stock,5,New Adult,https://books.toscrape.com/catalogue/the-hook-up-game-on-1_68/index.html,Bulgaria
Shameless,£58.35,In stock,3,New Adult,https://books.toscrape.com/catalogue/shameless_52/index.html,Venezuela
Off Sides (Off #1),£39.45,In stock,5,New Adult,https://books.toscrape.com/catalogue/off-sides-off-1_38/index.html,Trinidad and Tobago
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40,In stock,1,Paranormal,https://books.toscrape.com/catalogue/vampire-knight-vol-1-vampire-knight-1_93/index.html,Greece
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Macau
Join,£35.67,In stock,5,Science Fiction,https://books.toscrape.com/catalogue/join_902/index.html,Faroe Islands
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,4,Science Fiction,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,Belarus
The Project,£10.65,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/the-project_856/index.html,British Virgin Islands
Soft Apocalypse,£26.12,In stock,2,Science Fiction,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,Western Sahara
Sleeping Giants (Themis Files #1),£48.74,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/sleeping-giants-themis-files-1_604/index.html,Togo
Arena,£21.36,In stock,4,Science Fiction,https://books.toscrape.com/catalogue/arena_587/index.html,Anguilla
Foundation (Foundation (Publication Order) #1),£32.42,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/foundation-foundation-publication-order-1_375/index.html,Mali
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html,American Samoa
Ready Player One,£19.07,In stock,4,Science Fiction,https://books.toscrape.com/catalogue/ready-player-one_209/index.html,Heard Island and McDonald Islands
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,2,Science Fiction,https://books.toscrape.com/catalogue/life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html,Heard Island and McDonald Islands
Dune (Dune #1),£54.86,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/dune-dune-1_151/index.html,Kosovo
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,1,Science Fiction,https://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html,Thailand
Three Wishes (River of Time: California #1),£44.18,In stock,2,Science Fiction,https://books.toscrape.com/catalogue/three-wishes-river-of-time-california-1_89/index.html,Northern Mariana Islands
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,2,Science Fiction,https://books.toscrape.com/catalogue/the-last-girl-the-dominion-trilogy-1_70/index.html,Liberia
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,4,Science Fiction,https://books.toscrape.com/catalogue/having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html,Morocco
Wall and Piece,£44.18,In stock,4,Art,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,United States Minor Outlying Islands
Feathers: Displays of Brilliant Plumage,£49.05,In stock,3,Art,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html,Brunei
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,In stock,4,Art,https://books.toscrape.com/catalogue/art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559/index.html,Central African Republic
The New Drawing on the Right Side of the Brain,£43.02,In stock,3,Art,https://books.toscrape.com/catalogue/the-new-drawing-on-the-right-side-of-the-brain_550/index.html,Oman
History of Beauty,£10.29,In stock,4,Art,https://books.toscrape.com/catalogue/history-of-beauty_521/index.html,Luxembourg
The Story of Art,£41.14,In stock,4,Art,https://books.toscrape.com/catalogue/the-story-of-art_500/index.html,Lebanon
The Art Book,£32.34,In stock,2,Art,https://books.toscrape.com/catalogue/the-art-book_490/index.html,Bahamas
Ways of Seeing,£39.51,In stock,5,Art,https://books.toscrape.com/catalogue/ways-of-seeing_94/index.html,Bermuda
A Light in the Attic,£51.77,In stock,3,Poetry,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Brazil
The Black Maria,£52.15,In stock,1,Poetry,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,Tuvalu
Shakespeare's Sonnets,£20.66,In stock,4,Poetry,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Andorra
Olio,£23.88,In stock,1,Poetry,https://books.toscrape.com/catalogue/olio_984/index.html,Saint Lucia
You can't bury them all: Poems,£33.63,In stock,2,Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,India
Slow States of Collapse: Poems,£57.31,In stock,3,Poetry,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Mozambique
Untitled Collection: Sabbath Poems 2014,£14.27,In stock,4,Poetry,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Curaçao
Poems That Make Grown Women Cry,£14.19,In stock,4,Poetry,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,Morocco
Night Sky with Exit Wounds,£41.05,In stock,1,Poetry,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,Bouvet Island
salt.,£46.78,In stock,4,Poetry,https://books.toscrape.com/catalogue/salt_731/index.html,Tonga
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,In stock,5,Poetry,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,Bahamas
Out of Print: City Lights Spotlight No. 14,£53.64,In stock,5,Poetry,https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html,Afghanistan
Les Fleurs du Mal,£29.04,In stock,5,Poetry,https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html,Nigeria
Howl and Other Poems,£40.45,In stock,2,Poetry,https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html,Zambia
Leave This Song Behind: Teen Poetry at Its Best,£51.17,In stock,5,Poetry,https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html,Guyana
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,In stock,5,Poetry,https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,Angola
The Crossover,£38.77,In stock,4,Poetry,https://books.toscrape.com/catalogue/the-crossover_398/index.html,Dominica
Booked,£17.49,In stock,5,Poetry,https://books.toscrape.com/catalogue/booked_365/index.html,Peru
Twenty Love Poems and a Song of Despair,£30.95,In stock,4,Poetry,https://books.toscrape.com/catalogue/twenty-love-poems-and-a-song-of-despair_91/index.html,Burkina Faso
The Requiem Red,£22.65,In stock,1,Young Adult,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,Réunion
Set Me Free,£17.46,In stock,5,Young Adult,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Maldives
The Natural History of Us (The Fine Art of Pretending #2),£45.22,In stock,3,Young Adult,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Czechia
Obsidian (Lux #1),£14.86,In stock,2,Young Adult,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,Belarus
Burning,£28.81,In stock,3,Young Adult,https://books.toscrape.com/catalogue/burning_884/index.html,Zambia
A Fierce and Subtle Poison,£28.13,In stock,4,Young Adult,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,Sri Lanka
Scarlett Epstein Hates It Here,£43.55,In stock,5,Young Adult,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,South Africa
"Nightingale, Sing",£38.28,In stock,1,Young Adult,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html,Niue
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,In stock,5,Young Adult,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,Sweden
Frostbite (Vampire Academy #2),£29.99,In stock,5,Young Adult,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,Aruba
Wild Swans,£14.36,In stock,2,Young Adult,https://books.toscrape.com/catalogue/wild-swans_782/index.html,Senegal
Until Friday Night (The Field Party #1),£46.31,In stock,2,Young Adult,https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html,South Georgia
This Is Where It Ends,£27.12,In stock,2,Young Adult,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html,Panama
The Darkest Lie,£35.35,In stock,5,Young Adult,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html,San Marino
My Kind of Crazy,£40.36,In stock,1,Young Adult,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html,Azerbaijan
Don't Get Caught,£55.35,In stock,1,Young Adult,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html,Sint Maarten
Catching Jordan (Hundred Oaks),£50.83,In stock,3,Young Adult,https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html,Ireland
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,In stock,4,Young Adult,https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html,Argentina
The Epidemic (The Program 0.6),£14.44,In stock,5,Young Adult,https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html,Gibraltar
Stars Above (The Lunar Chronicles #4.5),£48.05,In stock,2,Young Adult,https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html,Yemen
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,In stock,4,Science,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Grenada
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,In stock,5,Science,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,Guam
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,In stock,4,Science,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,Bahrain
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,In stock,1,Science,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html,Sri Lanka
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,In stock,1,Science,https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html,South Korea
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,In stock,1,Science,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,Madagascar
The Origin of Species,£10.01,In stock,4,Science,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html,Japan
The Grand Design,£13.76,In stock,3,Science,https://books.toscrape.com/catalogue/the-grand-design_405/index.html,Vietnam
Peak: Secrets from the New Science of Expertise,£16.28,In stock,2,Science,https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html,Belarus
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,In stock,4,Science,https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html,Bermuda
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,In stock,5,Science,https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html,Ecuador
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,In stock,2,Science,https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html,Palau
Seven Brief Lessons on Physics,£30.60,In stock,4,Science,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html,Oman
The Selfish Gene,£29.45,In stock,1,Science,https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html,Spain
Unicorn Tracks,£18.78,In stock,3,Fantasy,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Solomon Islands
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,In stock,3,Fantasy,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,Slovakia
Princess Between Worlds (Wide-Awake Princess #5),£13.34,In stock,5,Fantasy,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,Guam
Masks and Shadows,£56.40,In stock,2,Fantasy,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,Gabon
Crown of Midnight (Throne of Glass #2),£43.29,In stock,3,Fantasy,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,Oman
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,In stock,2,Fantasy,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,Saudi Arabia
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,In stock,1,Fantasy,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,Slovakia
Throne of Glass (Throne of Glass #1),£35.07,In stock,3,Fantasy,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,Cayman Islands
The Glittering Court (The Glittering Court #1),£44.28,In stock,1,Fantasy,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,Iran
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,In stock,1,Fantasy,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,Timor-Leste
The Star-Touched Queen,£46.02,In stock,5,Fantasy,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html,Belgium
The Hidden Oracle (The Trials of Apollo #1),£52.26,In stock,2,Fantasy,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html,British Virgin Islands
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,In stock,4,Fantasy,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,Malawi
Island of Dragons (Unwanteds #7),£29.65,In stock,1,Fantasy,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html,Lesotho
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,In stock,5,Fantasy,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,Bulgaria
City of Glass (The Mortal Instruments #3),£56.02,In stock,4,Fantasy,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html,Bahamas
Searching for Meaning in Gailana,£38.73,In stock,1,Fantasy,https://books.toscrape.com/catalogue/searching-for-meaning-in-gailana_648/index.html,Ireland
The Star-Touched Queen,£32.30,In stock,5,Fantasy,https://books.toscrape.com/catalogue/the-star-touched-queen_642/index.html,Lebanon
A Shard of Ice (The Black Symphony Saga #1),£56.63,In stock,3,Fantasy,https://books.toscrape.com/catalogue/a-shard-of-ice-the-black-symphony-saga-1_558/index.html,Guinea-Bissau
King's Folly (The Kinsman Chronicles #1),£39.61,In stock,5,Fantasy,https://books.toscrape.com/catalogue/kings-folly-the-kinsman-chronicles-1_473/index.html,Ghana
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In stock,5,Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Togo
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In stock,3,Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Eswatini
Reasons to Stay Alive,£26.41,In stock,2,Nonfiction,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Lithuania
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,In stock,5,Nonfiction,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,French Southern and Antarctic Lands
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,In stock,4,Nonfiction,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,New Zealand
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,In stock,3,Nonfiction,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Albania
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,In stock,3,Nonfiction,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Laos
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,In stock,2,Religion,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,Ukraine
You Are What You Love: The Spiritual Power of Habit,£21.87,In stock,4,Religion,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,Angola
God: The Most Unpleasant Character in All Fiction,£30.03,In stock,5,Religion,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,Vatican City
The Book of Mormon,£24.57,In stock,3,Religion,https://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html,Brazil
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62,In stock,1,Religion,https://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html,São Tomé and Príncipe
The Bhagavad Gita,£57.49,In stock,3,Religion,https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html,Kosovo
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,In stock,4,Religion,https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,Azerbaijan
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,In stock,1,Nonfiction,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Portugal
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,In stock,1,Nonfiction,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Nepal
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,In stock,4,Nonfiction,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Spain
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,In stock,2,Nonfiction,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Liberia
In the Country We Love: My Family Divided,£22.00,In stock,4,Nonfiction,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,Monaco
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,In stock,2,Nonfiction,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,Cocos (Keeling) Islands
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,In stock,5,Nonfiction,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,Qatar
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,In stock,1,Nonfiction,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,Liechtenstein
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,In stock,2,Nonfiction,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,Gabon
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,In stock,2,Nonfiction,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,Kuwait
The Genius of Birds,£17.24,In stock,1,Nonfiction,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,Luxembourg
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,In stock,5,Nonfiction,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,Iraq
So You've Been Publicly Shamed,£12.23,In stock,2,Nonfiction,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,Belarus
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,In stock,1,Crime,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,French Polynesia
Birdsong: A Story in Pictures,£54.64,In stock,3,Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Liechtenstein
The Bear and the Piano,£36.89,In stock,1,Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,Saint Barthélemy
